,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
2945,2018-00049201,,,,,,Disorderly Conduct,Arrest
2946,2018-00049320,,,,,,Accident - Departmental,CBE
2947,2018-00049329,,,,,,Assist Other Agency,CBE
2948,2018-00049331,,,,,,Injured/Sick Person,CBE
2949,2018-00049346,,,,,,Injured Officer,CBE
2950,2018-00049367,,,,,,CDS Violation,CBE
2951,2018-00049390,,,,,,CDS Violation,Arrest
2952,2018-00049399,,,,,,Injured/Sick Person,CBE
2953,2018-00049405,,,,,,Disorderly Conduct,CBE
2954,2018-00049410,,,,,,Injured/Sick Person,CBE
2955,2018-00049432,,,,,,Damage to State Property,CBE
2956,2018-00049436,,,,,,Injured/Sick Person,CBE
2957,2018-00049461,,,,,,Injured Officer,CBE
2958,2018-00049475,,,,,,Vandalism,Active/Pending
2959,2018-00049486,,,,,,Injured/Sick Person,CBE
2960,2018-00049506,,,,,,Emergency Petition,CBE
2961,2018-00049509,,,,,,Injured/Sick Person,CBE
2962,2018-00049519,,,,,,Injured/Sick Person,CBE
2963,2018-00049521,,,,,,Injured/Sick Person,CBE
2964,2018-00049523,,,,,,Injured/Sick Person,CBE
2965,2018-00049556,,,,,,Dept Property Damage/Loss,Unfounded
2966,2018-00049586,,,,,,Alcohol Violation,Arrest
2967,2018-00049599,,,,,,CDS Violation,Arrest
2968,2018-00049604,,,,,,Alcohol Violation,Arrest
2969,2018-00049605,,,,,,Injured/Sick Person,CBE
2970,2018-00049621,,,,,,Injured/Sick Person,CBE
2971,2018-00049631,,,,,,Injured/Sick Person,CBE
2972,2018-00049681,,,,,,Injured/Sick Person,CBE
2973,2018-00049707,,,,,,Injured/Sick Person,CBE
2974,2018-00049711,,,,,,Suicide,CBE
2975,2018-00049731,,,,,,Assist Other Agency,Active/Pending
2976,2018-00049786,,,,,,Theft,Investigation Pending
2977,2018-00049839,,,,,,Theft,Investigation Pending
2978,2018-00049840,,,,,,Theft,Investigation Pending
2979,2018-00049845,,,,,,Assist Other Agency,CBE
2980,2018-00049867,,,,,,Dept Property Damage/Loss,CBE
2981,2018-00049868,,,,,,Theft,Investigation Pending
2982,2018-00049895,,,,,,Theft,Investigation Pending
2983,2018-00049917,,,,,,Traffic Offense,Warrant Issued
2984,2018-00049919,,,,,,Injured/Sick Person,CBE
2985,2018-00049934,,,,,,Injured/Sick Person,CBE
2986,2018-00049991,,,,,,Damage to State Property,CBE
2987,2018-00050015,,,,,,Injured/Sick Person,CBE
2988,2018-00050043,,,,,,Theft,Investigation Pending
2989,2018-00050056,,,,,,Theft,Active/Pending
2990,2018-00050116,,,,,,Telephone/EMail Misuse,Investigation Pending
2991,2018-00050122,,,,,,Check on the Welfare,CBE
2992,2018-00050203,,,,,,Emergency Petition,CBE
2993,2018-00050218,,,,,,Injured/Sick Person,CBE
2994,2018-00050224,,,,,,CDS Violation,Arrest
2995,2018-00050273,,,,,,DWI/DUI,Arrest
2996,2018-00050299,,,,,,DWI/DUI,Arrest
2997,2018-00050305,,,,,,Alcohol Violation,CBE
2998,2018-00050316,,,,,,Warrant/Summons Service,Arrest
2999,2018-00050319,,,,,,CDS Violation,Arrest
3000,2018-00050321,,,,,,DWI/DUI,Arrest
3001,2018-00050323,,,,,,DWI/DUI,Arrest
3002,2018-00050324,,,,,,DWI/DUI,Arrest
3003,2018-00050326,,,,,,DWI/DUI,Arrest
3004,2018-00050414,,,,,,Suspicious Activity,CBE
3005,2018-00050417,,,,,,Theft,Investigation Pending
3006,2018-00050426,,,,,,Threat Assessment,CBE
3007,2018-00050455,,,,,,Suspicious Activity,CBE
3008,2018-00050457,,,,,,CDS Violation,CBE
3009,2018-00050497,,,,,,Injured/Sick Person,CBE
3010,2018-00050522,,,,,,Injured/Sick Person,CBE
3011,2018-00050529,,,,,,Injured/Sick Person,CBE
3012,2018-00050535,,,,,,Vandalism,Arrest
3013,2018-00050569,,,,,,Theft,Active/Pending
3014,2018-00050572,,,,,,Emergency Petition,CBE
3015,2018-00050582,,,,,,Injured/Sick Person,CBE
3016,2018-00050583,,,,,,Indecent Exposure,Arrest
3017,2018-00050659,,,,,,CDS Violation,CBE
3018,2018-00050670,,,,,,DWI/DUI,Arrest
3019,2018-00050678,,,,,,Theft,Unfounded
3020,2018-00050692,,,,,,Injured/Sick Person,CBE
3021,2018-00050709,,,,,,Theft from Auto,Active/Pending
3022,2018-00050765,,,,,,Hate Bias Incident,Investigation Pending
3023,2018-00050798,,,,,,Assist Other Agency,CBE
3024,2018-00050848,,,,,,CDS Violation,CBE
3025,2018-00050853,,,,,,Injured/Sick Person,CBE
3026,2018-00050854,,,,,,Injured/Sick Person,CBE
3027,2018-00050859,,,,,,DWI/DUI,Arrest
3028,2018-00050860,,,,,,Assist Other Agency,CBE
3029,2018-00050861,,,,,,Suspicious Activity,CBE
3030,2018-00050998,,,,,,Hate Bias Incident,Active/Pending
3031,2018-00051026,,,,,,Injured/Sick Person,CBE
3032,2018-00051033,,,,,,Injured/Sick Person,CBE
3033,2018-00051045,,,,,,Assault,Investigation Pending
3034,2018-00051055,,,,,,CDS Violation,CBE
3035,2018-00051099,,,,,,Harassment/Stalking (Title IX Related),CBE
3036,2018-00051159,,,,,,Injured/Sick Person,CBE
3037,2018-00051171,,,,,,Injured/Sick Person,CBE
3038,2018-00051183,,,,,,CDS Violation,Arrest
3039,2018-00051222,,,,,,CDS Violation,Arrest
3040,2018-00051273,,,,,,Injured/Sick Person,CBE
3041,2018-00051303,,,,,,Suspicious Activity,CBE
3042,2018-00051475,,,,,,Injured/Sick Person,CBE
3043,2018-00051498,,,,,,Telephone/EMail Misuse,Investigation Pending
3044,2018-00051514,,,,,,Injured/Sick Person,CBE
3045,2018-00051600,,,,,,DWI/DUI,Arrest
3046,2018-00051601,,,,,,Harassment/Stalking (Title IX Related),CBE
3047,2018-00051656,,,,,,Accident - Departmental,CBE
3048,2018-00051676,,,,,,Theft,Investigation Pending
3049,2018-00051700,,,,,,Injured/Sick Person,CBE
3050,2018-00051718,,,,,,Injured Officer,CBE
3051,2018-00051794,,,,,,Injured/Sick Person,CBE
3052,2018-00051795,,,,,,DWI/DUI,Arrest
3053,2018-00051887,,,,,,DWI/DUI,Arrest
3054,2018-00051896,,,,,,Theft,Investigation Pending
3055,2018-00051903,,,,,,Assault,Investigation Pending
3056,2018-00051920,,,,,,Trespassing,CBE
3057,2018-00051985,,,,,,Theft,Active/Pending
3058,2018-00052003,,,,,,Injured/Sick Person,CBE
3059,2018-00052027,,,,,,Vehicle Tampering,Investigation Pending
3060,2018-00052148,,,,,,Vehicle Tampering,Unfounded
3061,2018-00052151,,,,,,Check on the Welfare,Active/Pending
3062,2018-00052176,,,,,,Injured/Sick Person,CBE
3063,2018-00052195,,,,,,Injured/Sick Person,CBE
3064,2018-00052217,,,,,,Injured/Sick Person,CBE
3065,2018-00052227,,,,,,Theft,Investigation Pending
3066,2018-00052230,,,,,,Assault,CBE
3067,2018-00052232,,,,,,DWI/DUI,Arrest
3068,2018-00052236,,,,,,Accident,Investigation Pending
3069,2018-00052470,,,,,,Theft,Active/Pending
3070,2018-00052498,,,,,,Theft,Investigation Pending
3071,2018-00052506,,,,,,Theft,Investigation Pending
3072,2018-00052745,,,,,,Other Incident,CBE
3073,2018-00052753,,,,,,Injured/Sick Person,CBE
3074,2018-00052931,,,,,,Injured/Sick Person,CBE
3075,2018-00052940,,,,,,Theft,Active/Pending
3076,2018-00052978,,,,,,Injured/Sick Person,CBE
3077,2018-00052983,,,,,,Injured/Sick Person,CBE
3078,2018-00053126,,,,,,CDS Violation,CBE
3079,2018-00053159,,,,,,Alcohol Violation,CBE
3080,2018-00053163,,,,,,Injured/Sick Person,CBE
3081,2018-00053213,,,,,,Injured/Sick Person,CBE
3082,2018-00053232,,,,,,Vandalism,CBE
3083,2018-00053332,,,,,,Injured/Sick Person,CBE
3084,2018-00053338,,,,,,Other Incident,CBE
3085,2018-00053401,,,,,,Injured/Sick Person,CBE
3086,2018-00053423,,,,,,CDS Violation,Arrest
3087,2018-00053435,,,,,,Vandalism,Investigation Pending
3088,2018-00053470,,,,,,Injured/Sick Person,CBE
3089,2018-00053473,,,,,,Theft,Arrest
3090,2018-00053490,,,,,,Injured/Sick Person,CBE
3091,2018-00053492,,,,,,Injured/Sick Person,CBE
3092,2018-00053504,,,,,,Injured Officer,Active/Pending
3093,2018-00053505,,,,,,Vandalism,Unfounded
3094,2018-00053550,,,,,,CDS Violation,Arrest
3095,2018-00053568,,,,,,Injured/Sick Person,CBE
3096,2018-00053575,,,,,,CDS Violation,Arrest
3097,2018-00053576,,,,,,Assist Other Agency,CBE
3098,2018-00053604,,,,,,Animal Complaint,CBE
3099,2018-00053688,,,,,,Hate Bias Incident,Active/Pending
3100,2018-00053716,,,,,,Emergency Petition,CBE
3101,2018-00053719,,,,,,Injured/Sick Person,CBE
3102,2018-00053800,,,,,,Injured Officer,CBE
3103,2018-00053811,,,,,,Theft,Investigation Pending
3104,2018-00053833,,,,,,Theft,Investigation Pending
3105,2018-00053863,,,,,,Fraud,CBE
3106,2018-00053957,,,,,,Fraud,CBE
3107,2018-00053963,,,,,,Other Incident (Title IX Related),Unfounded
3108,2018-00053967,,,,,,Emergency Petition,CBE
3109,2018-00053993,,,,,,CDS Violation,CBE
3110,2018-00054036,,,,,,Check on the Welfare,CBE
3111,2018-00054051,,,,,,Assist Other Agency,CBE
3112,2018-00054071,,,,,,Injured/Sick Person,CBE
3113,2018-00054142,,,,,,Emergency Petition,CBE
3114,2018-00054197,,,,,,Fraud,Investigation Pending
3115,2018-00054310,,,,,,Theft,Unfounded
3116,2018-00054350,,,,,,False Report/Statement,Arrest
3117,2018-00054372,,,,,,Injured/Sick Person,CBE
3118,2018-00054413,,,,,,Injured/Sick Person,CBE
3119,2018-00054432,,,,,,CDS Violation,Arrest
3120,2018-00054444,,,,,,Fraud,Arrest
3121,2018-00054507,,,,,,Injured/Sick Person,CBE
3122,2018-00054550,,,,,,Injured/Sick Person,CBE
3123,2018-00054571,,,,,,DWI/DUI,Arrest
3124,2018-00054590,,,,,,Accident,CBE
3125,2018-00054621,,,,,,Assist Other Agency,CBE
3126,2018-00054655,,,,,,Accident - Departmental,CBE
3127,2018-00054711,,,,,,Warrant/Summons Service,Arrest
3128,2018-00054713,,,,,,DWI/DUI,Arrest
3129,2018-00054775,,,,,,Assault,CBE
3130,2018-00054790,,,,,,Other Incident,CBE
3131,2018-00054800,,,,,,DWI/DUI,Arrest
3132,2018-00054802,,,,,,Injured/Sick Person,CBE
3133,2018-00054805,,,,,,Injured/Sick Person,CBE
3134,2018-00054867,,,,,,Injured/Sick Person,CBE
3135,2018-00054876,,,,,,Vandalism (Title IX Related),CBE
3136,2018-00054926,,,,,,Disorderly Conduct,Active/Pending
3137,2018-00054967,,,,,,Other Incident,Active/Pending
3138,2018-00054978,,,,,,Vandalism,Investigation Pending
3139,2018-00055016,,,,,,Dept Property Damage/Loss,CBE
3140,2018-00055037,,,,,,Assist Other Agency,CBE
3141,2018-00055058,,,,,,Other Incident,CBE
3142,2018-00055102,,,,,,Burglary,Arrest
3143,2018-00055169,,,,,,Injured/Sick Person,CBE
3144,2018-00055182,,,,,,Injured/Sick Person,CBE
3145,2018-00055218,,,,,,Fraud,CBE
3146,2018-00055227,,,,,,Lost Property,CBE
3147,2018-00055372,,,,,,Injured/Sick Person,CBE
3148,2018-00055434,,,,,,Hate Bias Incident,Investigation Pending
3149,2018-00055438,,,,,,Injured/Sick Person,Active/Pending
3150,2018-00055581,,,,,,Other Incident,CBE
3151,2018-00055603,,,,,,Other Incident,CBE
3152,2018-00055614,,,,,,Theft,Active/Pending
3153,2018-00055621,,,,,,Assist Other Agency,CBE
3154,2018-00055627,,,,,,Recovered Stolen Property,Arrest
3155,2018-00055664,,,,,,Theft,Arrest
3156,2018-00055712,,,,,,Assist Other Agency,CBE
3157,2018-00055719,,,,,,Assist Other Agency,CBE
3158,2018-00055722,,,,,,Accident - Departmental,CBE
3159,2018-00055801,,,,,,Suspicious Activity,Investigation Pending
3160,2018-00055821,,,,,,Damage to State Property,CBE
3161,2018-00055858,,,,,,CDS Violation,Arrest
3162,2018-00055868,,,,,,Theft,Active/Pending
3163,2018-00055874,,,,,,CDS Violation,Arrest
3164,2018-00055876,,,,,,Dept Property Damage/Loss,CBE
3165,2018-00055913,,,,,,Assist Other Agency (Title IX Related),CBE
3166,2018-00055917,,,,,,Injured/Sick Person,CBE
3167,2018-00055955,,,,,,Theft,Investigation Pending
3168,2018-00055965,,,,,,Injured/Sick Person,CBE
3169,2018-00055977,,,,,,Traffic Arrest,Arrest
3170,2018-00055997,,,,,,Theft,Investigation Pending
3171,2018-00056057,,,,,,Warrant/Summons Service,Arrest
3172,2018-00056058,,,,,,Injured/Sick Person,CBE
3173,2018-00056062,,,,,,Vandalism,CBE
3174,2018-00056064,,,,,,Injured/Sick Person,CBE
3175,2018-00056065,,,,,,Suspicious Activity,CBE
3176,2018-00056075,,,,,,Suspicious Activity,Active/Pending
3177,2018-00056139,,,,,,Injured/Sick Person,CBE
3178,2018-00056148,,,,,,Suspicious Activity (Title IX Related),CBE
3179,2018-00056167,,,,,,CDS Violation,CBE
3180,2018-00056200,,,,,,DWI/DUI,Arrest
3181,2018-00056408,,,,,,CDS Violation,CBE
3182,2018-00056414,,,,,,Warrant/Summons Service,Arrest
3183,2018-00056440,,,,,,Injured/Sick Person,CBE
3184,2018-00056455,,,,,,Theft,Investigation Pending
3185,2018-00056469,,,,,,Injured/Sick Person,CBE
3186,2018-00056489,,,,,,Theft,Investigation Pending
3187,2018-00056491,,,,,,Warrant/Summons Service,Arrest
3188,2018-00056586,,,,,,Injured/Sick Person,CBE
3189,2018-00056603,,,,,,Injured/Sick Person,CBE
3190,2018-00056605,,,,,,Assault,Arrest
3191,2018-00056643,,,,,,Dept Property Damage/Loss,CBE
3192,2018-00056671,,,,,,Injured/Sick Person,CBE
3193,2018-00056676,,,,,,Assault,Arrest
3194,2018-00056746,,,,,,CDS Violation,CBE
3195,2018-00056750,,,,,,DWI/DUI,Arrest
3196,2018-00056752,,,,,,CDS Violation,CBE
3197,2018-00056759,,,,,,DWI/DUI,Arrest
3198,2018-00056889,,,,,,Suspicious Person/Auto,CBE
3199,2018-00056892,,,,,,Suspicious Person/Auto,CBE
3200,2018-00057019,,,,,,DWI/DUI,Arrest
3201,2018-00057032,,,,,,Injured Officer,CBE
3202,2018-00057093,,,,,,Theft,Investigation Pending
3203,2018-00057109,,,,,,Theft,Investigation Pending
3204,2018-00057155,,,,,,CDS Violation,CBE
3205,2018-00057218,,,,,,Vandalism,Active/Pending
3206,2018-00057228,,,,,,Injured/Sick Person,CBE
3207,2018-00057229,,,,,,Injured/Sick Person,CBE
3208,2018-00057275,,,,,,Lost Property,CBE
3209,2018-00057371,,,,,,Injured/Sick Person,CBE
3210,2018-00057373,,,,,,Injured/Sick Person,CBE
3211,2018-00057379,,,,,,Injured/Sick Person,CBE
3212,2018-00057405,,,,,,Injured/Sick Person,CBE
3213,2018-00057431,,,,,,Assist Other Agency (Title IX Related),CBE
3214,2018-00057477,,,,,,Emergency Petition,CBE
3215,2018-00057480,,,,,,Theft,Investigation Pending
3216,2018-00057489,,,,,,Injured/Sick Person,CBE
3217,2018-00057499,,,,,,Injured/Sick Person,CBE
3218,2018-00057501,,,,,,Injured/Sick Person,CBE
3219,2018-00057554,,,,,,Suspicious Person/Auto,CBE
3220,2018-00057566,,,,,,Robbery,Arrest
3221,2018-00057596,,,,,,Vandalism,Investigation Pending
3222,2018-00057607,,,,,,Theft,Investigation Pending
3223,2018-00057610,,,,,,Injured/Sick Person,CBE
3224,2018-00057611,,,,,,Emergency Petition,CBE
3225,2018-00057612,,,,,,Theft from Auto,Arrest
3226,2018-00057629,,,,,,CDS Violation,Arrest
3227,2018-00057645,,,,,,Harassment/Stalking (Title IX Related),Investigation Pending
3228,2018-00057733,,,,,,Suspicious Activity,Active/Pending
3229,2018-00057736,,,,,,Theft,Investigation Pending
3230,2018-00057746,,,,,,Theft,Investigation Pending
3231,2018-00057751,,,,,,Stolen Motor Vehicle,Arrest
3232,2018-00057759,,,,,,Other Incident,Active/Pending
3233,2018-00057761,,,,,,Theft,Active/Pending
3234,2018-00057765,,,,,,Other Incident,CBE
3235,2018-00057786,,,,,,Theft,Active/Pending
3236,2018-00057809,,,,,,Injured/Sick Person,CBE
3237,2018-00057872,,,,,,DWI/DUI,Arrest
3238,2018-00057874,,,,,,Warrant/Summons Service,Arrest
3239,2018-00057887,,,,,,Theft,Investigation Pending
3240,2018-00057890,,,,,,Trespassing,Arrest
3241,2018-00057899,,,,,,Other Incident,CBE
3242,2018-00057933,,,,,,Theft,Investigation Pending
3243,2018-00057960,,,,,,Assist Other Agency,CBE
3244,2018-00057961,,,,,,Injured/Sick Person,CBE
3245,2018-00057969,,,,,,Harassment/Stalking,CBE
3246,2018-00058007,,,,,,CDS Violation,Arrest
3247,2018-00058020,,,,,,Trespassing,Arrest
3248,2018-00058041,,,,,,DWI/DUI,Arrest
3249,2018-00058072,,,,,,Injured/Sick Person,CBE
3250,2018-00058101,,,,,,Check on the Welfare,CBE
3251,2018-00058137,,,,,,Assist Other Agency,CBE
3252,2018-00058152,,,,,,Theft,Investigation Pending
3253,2018-00058272,,,,,,Dept Property Damage/Loss,CBE
3254,2018-00058286,,,,,,Other Incident,Investigation Pending
3255,2018-00058290,,,,,,Theft from Auto,Arrest
3256,2018-00058293,,,,,,Indecent Exposure (Title IX Related),Arrest
3257,2018-00058295,,,,,,Recovered Stolen Motor Vehicle,Arrest
3258,2018-00058307,,,,,,Injured/Sick Person,CBE
3259,2018-00058334,,,,,,Injured/Sick Person,CBE
3260,2018-00058342,,,,,,CDS Violation,Arrest
3261,2018-00058375,,,,,,Injured/Sick Person,CBE
3262,2018-00058383,,,,,,Suspicious Activity,CBE
3263,2018-00058386,,,,,,Trespassing,Arrest
3264,2018-00058388,,,,,,Injured/Sick Person,CBE
3265,2018-00058415,,,,,,Damage to State Property,Active/Pending
3266,2018-00058416,,,,,,DWI/DUI,Arrest
3267,2018-00058466,,,,,,Dept Property Damage/Loss,CBE
3268,2018-00058477,,,,,,DWI/DUI,Arrest
3269,2018-00058481,,,,,,Other Incident,CBE
3270,2018-00058496,,,,,,Assault (Title IX Related),CBE
3271,2018-00058497,,,,,,Theft,Investigation Pending
3272,2018-00058505,,,,,,Vandalism,Active/Pending
3273,2018-00058506,,,,,,Injured/Sick Person,CBE
3274,2018-00058509,,,,,,Theft,Investigation Pending
3275,2018-00058511,,,,,,Trespassing,Active/Pending
3276,2018-00058516,,,,,,Injured/Sick Person,Active/Pending
3277,2018-00058518,,,,,,Assist Other Agency,CBE
3278,2018-00058524,,,,,,Theft,Investigation Pending
3279,2018-00058525,,,,,,Injured/Sick Person,CBE
3280,2018-00058527,,,,,,Recovered Stolen Property,CBE
3281,2018-00058528,,,,,,Injured/Sick Person,CBE
3282,2018-00058552,,,,,,Injured/Sick Person,CBE
3283,2018-00058553,,,,,,Injured/Sick Person,CBE
3284,2018-00058561,,,,,,Emergency Petition,CBE
3285,2018-00058568,,,,,,Assault (Title IX Related),Arrest
3286,2018-00058585,,,,,,Suspicious Activity,CBE
3287,2018-00058697,,,,,,Assist Other Agency,CBE
3288,2018-00058732,,,,,,Trespassing,Arrest
3289,2018-00058789,,,,,,Injured/Sick Person,CBE
3290,2018-00058819,,,,,,Theft,Investigation Pending
3291,2018-00058837,,,,,,Theft,CBE
3292,2018-00058839,,,,,,Harassment/Stalking,CBE
3293,2018-00058897,,,,,,Dept Property Damage/Loss,CBE
3294,2018-00058905,,,,,,Vandalism,CBE
3295,2018-00058915,,,,,,Harassment/Stalking (Title IX Related),CBE
3296,2018-00058922,,,,,,Injured/Sick Person,CBE
3297,2018-00058926,,,,,,CDS Violation,CBE
3298,2018-00058949,,,,,,Injured/Sick Person,CBE
3299,2018-00058953,,,,,,DWI/DUI,Arrest
3300,2018-00058985,,,,,,Domestic (Title IX Related),CBE
3301,2018-00059003,,,,,,Stolen Motor Vehicle,Investigation Pending
3302,2018-00059008,,,,,,Emergency Petition,CBE
3303,2018-00059010,,,,,,Vandalism,Active/Pending
3304,2018-00059012,,,,,,Fraud,CBE
3305,2018-00059030,,,,,,Fraud,Active/Pending
3306,2018-00059042,,,,,,Stolen Motor Vehicle,Arrest
3307,2018-00059106,,,,,,DWI/DUI,Arrest
3308,2018-00059172,,,,,,Police Information,CBE
3309,2018-00059186,,,,,,Other Incident,CBE
3310,2018-00059205,,,,,,Emergency Petition,CBE
3311,2018-00059208,,,,,,Theft,Investigation Pending
3312,2018-00059237,,,,,,Injured/Sick Person,CBE
3313,2018-00059321,,,,,,Trespassing,Arrest
3314,2018-00059325,,,,,,Suspicious Activity (Title IX Related),CBE
3315,2018-00059334,,,,,,DWI/DUI,Arrest
3316,2018-00059373,,,,,,Alarm,Arrest
3317,2018-00059411,,,,,,Other Incident,CBE
3318,2018-00059456,,,,,,Other Incident,CBE
3319,2018-00059591,,,,,,Dept Property Damage/Loss,CBE
3320,2018-00059606,,,,,,Other Incident,CBE
3321,2018-00059619,,,,,,Stolen Motor Vehicle,Investigation Pending
3322,2018-00059641,,,,,,Police Information (Title IX Related),CBE
3323,2018-00059685,,,,,,Injured/Sick Person,CBE
3324,2018-00059686,,,,,,Injured/Sick Person,CBE
3325,2018-00059688,,,,,,Injured/Sick Person,CBE
3326,2018-00059691,,,,,,Injured/Sick Person,CBE
3327,2018-00059696,,,,,,Injured/Sick Person,CBE
3328,2018-00059712,,,,,,Assist Other Agency,CBE
3329,2018-00059762,,,,,,Theft,Unfounded
3330,2018-00059781,,,,,,Injured/Sick Person,CBE
3331,2018-00059864,,,,,,Injured/Sick Person,CBE
3332,2018-00059865,,,,,,DWI/DUI,Arrest
3333,2018-00059874,,,,,,CDS Violation,Arrest
3334,2018-00059913,,,,,,Vandalism (Title IX Related),Active/Pending
3335,2018-00059932,,,,,,Hazardous Condition,CBE
3336,2018-00059933,,,,,,Theft,Investigation Pending
3337,2018-00059992,,,,,,Found/Recovered Property,Unfounded
3338,2018-00060020,,,,,,DWI/DUI,Arrest
3339,2018-00060031,,,,,,Burglary,Arrest
3340,2018-00060032,,,,,,Fraud,Active/Pending
3341,2018-00060079,,,,,,Emergency Petition,CBE
3342,2018-00060085,,,,,,Damage to State Property,Active/Pending
3343,2018-00060108,,,,,,Harassment/Stalking,CBE
3344,2018-00060111,,,,,,Other Incident,CBE
3345,2018-00060125,,,,,,Injured/Sick Person,CBE
3346,2018-00060134,,,,,,Alarm,Investigation Pending
3347,2018-00060142,,,,,,Trespassing,CBE
3348,2018-00060147,,,,,,Injured/Sick Person,CBE
3349,2018-00060155,,,,,,CDS Violation,Arrest
3350,2018-00060211,,,,,,Injured/Sick Person,CBE
3351,2018-00060249,,,,,,Emergency Petition,CBE
3352,2018-00060296,,,,,,Theft,Unfounded
3353,2018-00060308,,,,,,Trespassing,CBE
3354,2018-00060383,,,,,,Peeping Tom,Active/Pending
3355,2018-00060419,,,,,,Emergency Petition,CBE
3356,2018-00060435,,,,,,Overdose,CBE
3357,2018-00060445,,,,,,Disorderly Conduct,Arrest
3358,2018-00060459,,,,,,Theft,Investigation Pending
3359,2018-00060466,,,,,,Theft from Auto,Investigation Pending
3360,2018-00060468,,,,,,Assist Other Agency,CBE
3361,2018-00060473,,,,,,Injured/Sick Person,CBE
3362,2018-00060525,,,,,,Theft,Investigation Pending
3363,2018-00060532,,,,,,Theft,Investigation Pending
3364,2018-00060553,,,,,,Injured/Sick Person,CBE
3365,2018-00060575,,,,,,Pedestrian Struck,CBE
3366,2018-00060577,,,,,,Emergency Petition,CBE
3367,2018-00060608,,,,,,Emergency Petition,CBE
3368,2018-00060626,,,,,,CDS Violation,CBE
3369,2018-00060633,,,,,,Injured/Sick Person,CBE
3370,2018-00060644,,,,,,Theft,Investigation Pending
3371,2018-00060693,,,,,,Emergency Petition,CBE
3372,2018-00060695,,,,,,Injured/Sick Person,CBE
3373,2018-00060697,,,,,,Rape,Arrest
3374,2018-00060704,,,,,,Emergency Petition,CBE
3375,2018-00060758,,,,,,Injured/Sick Person,CBE
3376,2018-00060831,,,,,,Burglary,CBE
3377,2018-00060832,,,,,,Vandalism,Active/Pending
3378,2018-00060843,,,,,,Injured/Sick Person,CBE
3379,2018-00060855,,,,,,Injured/Sick Person,CBE
3380,2018-00060870,,,,,,Injured/Sick Person,CBE
3381,2018-00060903,,,,,,Theft,Arrest
3382,2018-00060926,,,,,,Injured/Sick Person,CBE
3383,2018-00061035,,,,,,Hate Bias Incident,Investigation Pending
3384,2018-00061076,,,,,,CDS Violation,CBE
3385,2018-00061111,,,,,,DWI/DUI,Arrest
3386,2018-00061118,,,,,,Assist Other Agency (Title IX Related),CBE
3387,2018-00061189,,,,,,Harassment/Stalking (Title IX Related),CBE
3388,2018-00061212,,,,,,Pedestrian Struck,CBE
3389,2018-00061215,,,,,,Theft,Investigation Pending
3390,2018-00061229,,,,,,Injured/Sick Person,CBE
3391,2018-00061250,,,,,,Other Incident,CBE
3392,2018-00061279,,,,,,Assist Other Agency,CBE
3393,2018-00061292,,,,,,DWI/DUI,Arrest
3394,2018-00061330,,,,,,Injured/Sick Person,CBE
3395,2018-00061331,,,,,,Trespassing,Arrest
3396,2018-00061408,,,,,,Theft,Active/Pending
3397,2018-00061412,,,,,,CDS Violation,Arrest
3398,2018-00061490,,,,,,Suspicious Activity,CBE
3399,2018-00061517,,,,,,Stolen Motor Vehicle,Arrest
3400,2018-00061546,,,,,,Injured/Sick Person,CBE
3401,2018-00061554,,,,,,Trespassing,CBE
3402,2018-00061593,,,,,,Theft,Arrest
3403,2018-00061622,,,,,,Suspicious Person/Auto,CBE
3404,2018-00061678,,,,,,Assist Other Agency,CBE
3405,2018-00061801,,,,,,Trespassing,CBE
3406,2018-00061845,,,,,,Pedestrian Struck,Active/Pending
3407,2018-00061858,,,,,,Check on the Welfare,CBE
3408,2018-00061863,,,,,,Theft,Unfounded
3409,2018-00061889,,,,,,DWI/DUI,Arrest
3410,2018-00061954,,,,,,Injured/Sick Person,CBE
3411,2018-00061973,,,,,,Other Incident (Title IX Related),CBE
3412,2018-00061976,,,,,,Injured/Sick Person,CBE
3413,2018-00061979,,,,,,CDS Violation,CBE
3414,2018-00062004,,,,,,Injured/Sick Person,CBE
3415,2018-00062078,,,,,,Dept Property Damage/Loss,CBE
3416,2018-00062126,,,,,,Assault,CBE
3417,2018-00062135,,,,,,CDS Violation,Arrest
3418,2018-00062171,,,,,,DWI/DUI,Arrest
3419,2018-00062185,,,,,,DWI/DUI,Arrest
3420,2018-00062187,,,,,,Injured/Sick Person,CBE
3421,2018-00062191,,,,,,Injured/Sick Person,CBE
3422,2018-00062197,,,,,,Warrant/Summons Service,CBE
3423,2018-00062253,,,,,,Emergency Petition,CBE
3424,2018-00062263,,,,,,Injured/Sick Person,CBE
3425,2018-00062269,,,,,,Injured/Sick Person,CBE
3426,2018-00062417,,,,,,Injured/Sick Person,CBE
3427,2018-00062460,,,,,,Fraud,CBE
3428,2018-00062525,,,,,,CDS Violation,CBE
3429,2018-00062536,,,,,,Injured/Sick Person,CBE
3430,2018-00062541,,,,,,Injured/Sick Person,CBE
3431,2018-00062589,,,,,,Injured/Sick Person,CBE
3432,2018-00062591,,,,,,Injured/Sick Person,CBE
3433,2018-00062644,,,,,,Alcohol Violation,CBE
3434,2018-00062729,,,,,,Vandalism,Investigation Pending
3435,2018-00062767,,,,,,DWI/DUI,Arrest
3436,2018-00062787,,,,,,Traffic Offense,CBE
3437,2018-00062805,,,,,,Disorderly Conduct,CBE
3438,2018-00062832,,,,,,Other Incident,CBE
