row_number,case_number,date_occurred,time_occurred,location_desc,date_reported,time_reported,type,disposition
2182,2019-00023032,,,,,,Assault,Arrest
2183,2019-00023040,,,,,,Alcohol Violation,Arrest
2184,2019-00023050,,,,,,DWI/DUI,Arrest
2185,2019-00023171,,,,,,Emergency Petition,Arrest
2186,2019-00023181,,,,,,Theft,Investigation Pending
2187,2019-00023195,,,,,,Theft,Active/Pending
2188,2019-00023201,,,,,,Dept Property Damage/Loss,CBE
2189,2019-00023207,,,,,,Suspicious Person/Auto,CBE
2190,2019-00023254,,,,,,Warrant/Summons Service,Arrest
2191,2019-00023261,,,,,,DWI/DUI,Arrest
2192,2019-00023276,,,,,,DWI/DUI,Arrest
2193,2019-00023360,,,,,,Fraud,Investigation Pending
2194,2019-00023363,,,,,,Other Incident (Title IX Related),CBE
2195,2019-00023366,,,,,,Injured/Sick Person,CBE
2196,2019-00023459,,,,,,Alcohol Violation,Arrest
2197,2019-00023468,,,,,,DWI/DUI,Arrest
2198,2019-00023484,,,,,,Assist Other Agency,CBE
2199,2019-00023485,,,,,,CDS Violation,Arrest
2200,2019-00023487,,,,,,DWI/DUI,Arrest
2201,2019-00023490,,,,,,DWI/DUI,Arrest
2202,2019-00023571,,,,,,Theft,Investigation Pending
2203,2019-00023597,,,,,,Fraud,Active/Pending
2204,2019-00023693,,,,,,Injured/Sick Person,CBE
2205,2019-00023702,,,,,,DWI/DUI,Arrest
2206,2019-00023751,,,,,,Damage to State Property,Active/Pending
2207,2019-00023846,,,,,,Trespassing,Arrest
2208,2019-00023864,,,,,,CDS Violation,Arrest
2209,2019-00023875,,,,,,Burglary,Investigation Pending
2210,2019-00023923,,,,,,Injured/Sick Person,CBE
2211,2019-00023926,,,,,,Injured/Sick Person,CBE
2212,2019-00023928,,,,,,Injured/Sick Person,CBE
2213,2019-00023932,,,,,,Assist Other Agency,CBE
2214,2019-00023933,,,,,,Assist Other Agency (Title IX Related),CBE
2215,2019-00023935,,,,,,Warrant/Summons Service,Arrest
2216,2019-00023991,,,,,,Injured/Sick Person,CBE
2217,2019-00024018,,,,,,Injured/Sick Person,CBE
2218,2019-00024023,,,,,,Stolen Motor Vehicle,Juvenile Arrest
2219,2019-00024026,,,,,,Injured/Sick Person,CBE
2220,2019-00024039,,,,,,Injured/Sick Person,CBE
2221,2019-00024089,,,,,,Injured/Sick Person,CBE
2222,2019-00024107,,,,,,Theft,Active/Pending
2223,2019-00024130,,,,,,Injured/Sick Person,CBE
2224,2019-00024149,,,,,,Stolen Motor Vehicle,Investigation Pending
2225,2019-00024176,,,,,,Emergency Petition,CBE
2226,2019-00024260,,,,,,Injured/Sick Person,CBE
2227,2019-00024267,,,,,,Other Incident,CBE
2228,2019-00024269,,,,,,Injured/Sick Person,CBE
2229,2019-00024310,,,,,,Fraud,Investigation Pending
2230,2019-00024317,,,,,,Telephone/EMail Misuse (Title IX Related),Active/Pending
2231,2019-00024321,,,,,,Suspicious Activity,CBE
2232,2019-00024325,,,,,,Stolen Motor Vehicle,Investigation Pending
2233,2019-00024346,,,,,,Stolen Motor Vehicle,Summons Issued
2234,2019-00024357,,,,,,Fraud,Arrest
2235,2019-00024382,,,,,,CDS Violation,Arrest
2236,2019-00024402,,,,,,Theft,Investigation Pending
2237,2019-00024403,,,,,,Harassment/Stalking,CBE
2238,2019-00024420,,,,,,DWI/DUI,Arrest
2239,2019-00024490,,,,,,Fire,CBE
2240,2019-00024491,,,,,,False Report/Statement,Active/Pending
2241,2019-00024493,,,,,,Vandalism,Investigation Pending
2242,2019-00024496,,,,,,Injured/Sick Person,CBE
2243,2019-00024650,,,,,,Injured/Sick Person,CBE
2244,2019-00024654,,,,,,DWI/DUI,Arrest
2245,2019-00024727,,,,,,Theft,CBE
2246,2019-00024760,,,,,,Stolen Motor Vehicle,Investigation Pending
2247,2019-00024765,,,,,,Damage to State Property,CBE
2248,2019-00024793,,,,,,Stolen Motor Vehicle,Investigation Pending
2249,2019-00024801,,,,,,Theft,Investigation Pending
2250,2019-00024871,,,,,,Alcohol Violation,Arrest
2251,2019-00024874,,,,,,Alcohol Violation,Arrest
2252,2019-00024896,,,,,,Stolen Motor Vehicle,Arrest
2253,2019-00024926,,,,,,Check on the Welfare,CBE
2254,2019-00024952,,,,,,Theft,Active/Pending
2255,2019-00024967,,,,,,Stolen Motor Vehicle,Investigation Pending
2256,2019-00025055,,,,,,Injured/Sick Person,CBE
2257,2019-00025056,,,,,,Vandalism,Arrest
2258,2019-00025073,,,,,,CDS Violation,Arrest
2259,2019-00025087,,,,,,Assist Other Agency,CBE
2260,2019-00025093,,,,,,CDS Violation,Arrest
2261,2019-00025096,,,,,,DWI/DUI,Arrest
2262,2019-00025163,,,,,,Recovered Stolen Property,CBE
2263,2019-00025164,,,,,,Theft,Arrest
2264,2019-00025259,,,,,,Disorderly Conduct,Arrest
2265,2019-00025263,,,,,,Burglary,Arrest
2266,2019-00025265,,,,,,Injured/Sick Person,CBE
2267,2019-00025268,,,,,,Assist Other Agency (Title IX Related),CBE
2268,2019-00025269,,,,,,Assist Other Agency,CBE
2269,2019-00025297,,,,,,Assault,Arrest
2270,2019-00025394,,,,,,CDS Violation,Arrest
2271,2019-00025453,,,,,,Injured/Sick Person,CBE
2272,2019-00025467,,,,,,CDS Violation,Arrest
2273,2019-00025473,,,,,,Damage to State Property,CBE
2274,2019-00025547,,,,,,CDS Violation,Arrest
2275,2019-00025583,,,,,,CDS Violation,Arrest
2276,2019-00025587,,,,,,DWI/DUI,Arrest
2277,2019-00025588,,,,,,DWI/DUI,Arrest
2278,2019-00025589,,,,,,Other Incident,CBE
2279,2019-00025649,,,,,,Theft,Active/Pending
2280,2019-00025668,,,,,,Dept Property Damage/Loss,CBE
2281,2019-00025713,,,,,,Hate Bias Incident,Investigation Pending
2282,2019-00025721,,,,,,Theft,Active/Pending
2283,2019-00025734,,,,,,Assist Other Agency,CBE
2284,2019-00025763,,,,,,Emergency Petition,CBE
2285,2019-00025768,,,,,,Injured/Sick Person,CBE
2286,2019-00025806,,,,,,CDS Violation,Arrest
2287,2019-00025831,,,,,,CDS Violation,Arrest
2288,2019-00025880,,,,,,DWI/DUI,Arrest
2289,2019-00025889,,,,,,CDS Violation,Arrest
2290,2019-00025895,,,,,,Injured/Sick Person,CBE
2291,2019-00025918,,,,,,Dept Property Damage/Loss,CBE
2292,2019-00025919,,,,,,Vandalism,Investigation Pending
2293,2019-00025950,,,,,,Theft,Active/Pending
2294,2019-00025973,,,,,,Theft,Investigation Pending
2295,2019-00025983,,,,,,Theft,Active/Pending
2296,2019-00025999,,,,,,Suspicious Person/Auto,Active/Pending
2297,2019-00026018,,,,,,Theft,Unfounded
2298,2019-00026039,,,,,,CDS Violation,Arrest
2299,2019-00026065,,,,,,CDS Violation,Arrest
2300,2019-00026092,,,,,,DWI/DUI,Arrest
2301,2019-00026095,,,,,,DWI/DUI,Arrest
2302,2019-00026098,,,,,,Injured/Sick Person,CBE
2303,2019-00026179,,,,,,Injured/Sick Person,CBE
2304,2019-00026255,,,,,,Injured/Sick Person,CBE
2305,2019-00026278,,,,,,Alcohol Violation,Arrest
2306,2019-00026279,,,,,,Alcohol Violation,Arrest
2307,2019-00026302,,,,,,CDS Violation,Arrest
2308,2019-00026309,,,,,,CDS Violation,Arrest
2309,2019-00026330,,,,,,Alcohol Violation,Arrest
2310,2019-00026332,,,,,,DWI/DUI,CBE
2311,2019-00026333,,,,,,Alcohol Violation,Arrest
2312,2019-00026335,,,,,,Injured/Sick Person,CBE
2313,2019-00026336,,,,,,Check on the Welfare,CBE
2314,2019-00026340,,,,,,Recovered Stolen Motor Vehicle,CBE
2315,2019-00026341,,,,,,Alcohol Violation,Arrest
2316,2019-00026351,,,,,,CDS Violation,CBE
2317,2019-00026374,,,,,,Damage to State Property,CBE
2318,2019-00026412,,,,,,Assault,Summons Issued
2319,2019-00026425,,,,,,Theft,Active/Pending
2320,2019-00026438,,,,,,Lost Property,CBE
2321,2019-00026489,,,,,,Injured/Sick Person,CBE
2322,2019-00026520,,,,,,CDS Violation,Arrest
2323,2019-00026521,,,,,,Theft,Active/Pending
2324,2019-00026542,,,,,,Vandalism,Arrest
2325,2019-00026550,,,,,,CDS Violation,Arrest
2326,2019-00026551,,,,,,DWI/DUI,Arrest
2327,2019-00026552,,,,,,Emergency Petition,CBE
2328,2019-00026555,,,,,,Emergency Petition,CBE
2329,2019-00026583,,,,,,Injured/Sick Person,CBE
2330,2019-00026604,,,,,,Assist Other Agency,CBE
2331,2019-00026606,,,,,,CDS Violation,CBE
2332,2019-00026615,,,,,,Injured/Sick Person,CBE
2333,2019-00026655,,,,,,Dept Property Damage/Loss,CBE
2334,2019-00026687,,,,,,Injured/Sick Person,CBE
2335,2019-00026698,,,,,,Vandalism,Investigation Pending
2336,2019-00026699,,,,,,DWI/DUI,Arrest
2337,2019-00026700,,,,,,Other Incident,CBE
2338,2019-00026701,,,,,,Assist Other Agency,CBE
2339,2019-00026739,,,,,,Other Incident (Title IX Related),CBE
2340,2019-00026835,,,,,,Recovered Stolen Property,Summons Issued
2341,2019-00026968,,,,,,Fraud,Investigation Pending
2342,2019-00026988,,,,,,CDS Violation,Arrest
2343,2019-00027001,,,,,,CDS Violation,Arrest
2344,2019-00027003,,,,,,Theft,Active/Pending
2345,2019-00027012,,,,,,Other Incident,CBE
2346,2019-00027041,,,,,,CDS Violation,Arrest
2347,2019-00027080,,,,,,Injured/Sick Person,CBE
2348,2019-00027092,,,,,,Trespassing,CBE
2349,2019-00027095,,,,,,Injured/Sick Person,CBE
2350,2019-00027107,,,,,,Vandalism,Active/Pending
2351,2019-00027134,,,,,,Trespassing,Arrest
2352,2019-00027135,,,,,,CDS Violation,CBE
2353,2019-00027181,,,,,,Injured/Sick Person,CBE
2354,2019-00027184,,,,,,DWI/DUI,Arrest
2355,2019-00027223,,,,,,Theft,Investigation Pending
2356,2019-00027267,,,,,,Theft,Active/Pending
2357,2019-00027332,,,,,,Injured/Sick Person,CBE
2358,2019-00027365,,,,,,CDS Violation,Arrest
2359,2019-00027385,,,,,,Suspicious Activity,CBE
2360,2019-00027474,,,,,,Burglary,Arrest
2361,2019-00027477,,,,,,Theft,Active/Pending
2362,2019-00027492,,,,,,Injured/Sick Person,CBE
2363,2019-00027546,,,,,,Theft,Active/Pending
2364,2019-00027562,,,,,,Injured/Sick Person,CBE
2365,2019-00027651,,,,,,CDS Violation,Arrest
2366,2019-00027652,,,,,,Injured/Sick Person,CBE
2367,2019-00027740,,,,,,Injured/Sick Person,CBE
2368,2019-00027750,,,,,,Theft,Investigation Pending
2369,2019-00027767,,,,,,Fraud,Investigation Pending
2370,2019-00027810,,,,,,Animal Complaint,CBE
2371,2019-00027846,,,,,,Injured/Sick Person,CBE
2372,2019-00027847,,,,,,Recovered Stolen Motor Vehicle,CBE
2373,2019-00027848,,,,,,Injured/Sick Person,CBE
2374,2019-00027900,,,,,,DWI/DUI,Arrest
2375,2019-00027930,,,,,,Damage to State Property,Investigation Pending
2376,2019-00027934,,,,,,Assault,Arrest
2377,2019-00027941,,,,,,Injured/Sick Person,CBE
2378,2019-00027958,,,,,,Injured/Sick Person,CBE
2379,2019-00027975,,,,,,DWI/DUI,Arrest
2380,2019-00027979,,,,,,Injured/Sick Person,CBE
2381,2019-00027989,,,,,,Theft,Investigation Pending
2382,2019-00027992,,,,,,Theft,CBE
2383,2019-00028016,,,,,,Injured/Sick Person,CBE
2384,2019-00028020,,,,,,DWI/DUI,Arrest
2385,2019-00028374,,,,,,Injured/Sick Person,CBE
2386,2019-00028495,,,,,,Traffic Offense,CBE
2387,2019-00028502,,,,,,Damage to State Property,CBE
2388,2019-00028516,,,,,,Injured/Sick Person,CBE
2389,2019-00028544,,,,,,Theft,Investigation Pending
2390,2019-00028606,,,,,,Theft,Arrest
2391,2019-00028613,,,,,,Theft,Active/Pending
2392,2019-00028626,,,,,,Injured/Sick Person,CBE
2393,2019-00028804,,,,,,Alcohol Violation,Arrest
2394,2019-00028816,,,,,,DWI/DUI,Arrest
2395,2019-00028828,,,,,,Accident - Departmental,CBE
2396,2019-00028842,,,,,,Theft,Investigation Pending
2397,2019-00028862,,,,,,Disorderly Conduct,CBE
2398,2019-00028875,,,,,,Injured/Sick Person,CBE
2399,2019-00028882,,,,,,Other Incident (Title IX Related),CBE
2400,2019-00028885,,,,,,Accident,CBE
2401,2019-00028940,,,,,,Theft,Unfounded
2402,2019-00028954,,,,,,Assist Other Agency,CBE
2403,2019-00028974,,,,,,Theft,Active/Pending
2404,2019-00028985,,,,,,Injured/Sick Person,CBE
2405,2019-00029012,,,,,,Injured/Sick Person,CBE
2406,2019-00029015,,,,,,Injured/Sick Person,CBE
2407,2019-00029194,,,,,,Injured/Sick Person,CBE
2408,2019-00029217,,,,,,Theft,Investigation Pending
2409,2019-00029310,,,,,,CDS Violation,Arrest
2410,2019-00029348,,,,,,DWI/DUI,Arrest
2411,2019-00029502,,,,,,Other Incident,CBE
2412,2019-00029579,,,,,,DWI/DUI,Arrest
2413,2019-00029580,,,,,,DWI/DUI,Arrest
2414,2019-00029603,,,,,,DWI/DUI,Arrest
2415,2019-00029604,,,,,,Injured/Sick Person,CBE
2416,2019-00029786,,,,,,Stolen Motor Vehicle,Active/Pending
2417,2019-00029846,,,,,,CDS Violation,Arrest
2418,2019-00030025,,,,,,Injured/Sick Person,CBE
2419,2019-00030097,,,,,,Stolen Motor Vehicle,Active/Pending
2420,2019-00030205,,,,,,Theft,Active/Pending
2421,2019-00030279,,,,,,CDS Violation,Arrest
2422,2019-00030401,,,,,,Theft from Auto,Arrest
2423,2019-00030411,,,,,,Trespassing,CBE
2424,2019-00030414,,,,,,Trespassing,Arrest
2425,2019-00030621,,,,,,Theft,Investigation Pending
2426,2019-00030659,,,,,,Assault,CBE
2427,2019-00030661,,,,,,Injured/Sick Person,CBE
2428,2019-00030667,,,,,,Theft,Investigation Pending
2429,2019-00030750,,,,,,CDS Violation,Arrest
2430,2019-00030788,,,,,,CDS Violation,Arrest
2431,2019-00030821,,,,,,Injured/Sick Person,CBE
2432,2019-00030844,,,,,,Injured/Sick Person,CBE
2433,2019-00030861,,,,,,Accident - Departmental,CBE
2434,2019-00030867,,,,,,Fraud,CBE
2435,2019-00030868,,,,,,Recovered Stolen Motor Vehicle,Investigation Pending
2436,2019-00030872,,,,,,Theft,Investigation Pending
2437,2019-00030955,,,,,,Theft,Active/Pending
2438,2019-00030959,,,,,,DWI/DUI,Arrest
2439,2019-00030971,,,,,,CDS Violation,Arrest
2440,2019-00031059,,,,,,Assault,CBE
2441,2019-00031060,,,,,,Assist Other Agency,CBE
2442,2019-00031196,,,,,,CDS Violation,Arrest
2443,2019-00031431,,,,,,CDS Violation,Arrest
2444,2019-00031451,,,,,,CDS Violation,Arrest
2445,2019-00031492,,,,,,Accident - Departmental,CBE
2446,2019-00031506,,,,,,Recovered Stolen Motor Vehicle,CBE
2447,2019-00031542,,,,,,DWI/DUI,Arrest
2448,2019-00031600,,,,,,Suspicious Person/Auto,Arrest
2449,2019-00031707,,,,,,Theft,Investigation Pending
2450,2019-00031710,,,,,,Other Incident,Investigation Pending
2451,2019-00031758,,,,,,Theft from Auto,Active/Pending
2452,2019-00031764,,,,,,Damage to State Property,CBE
2453,2019-00031838,,,,,,Dept Property Damage/Loss,CBE
2454,2019-00031869,,,,,,Injured/Sick Person,CBE
2455,2019-00031873,,,,,,Threat Assessment,Investigation Pending
2456,2019-00031981,,,,,,DWI/DUI,Arrest
2457,2019-00032060,,,,,,Other Incident,CBE
2458,2019-00032076,,,,,,Theft,Investigation Pending
2459,2019-00032120,,,,,,Burglary,Arrest
2460,2019-00032156,,,,,,Injured/Sick Person,CBE
2461,2019-00032158,,,,,,Injured/Sick Person,CBE
2462,2019-00032160,,,,,,Suspicious Activity,Investigation Pending
2463,2019-00032248,,,,,,Theft from Auto,Arrest
2464,2019-00032306,,,,,,DWI/DUI,Arrest
2465,2019-00032313,,,,,,Dept Property Damage/Loss,CBE
2466,2019-00032485,,,,,,Theft,Arrest
2467,2019-00032598,,,,,,Injured/Sick Person,CBE
2468,2019-00032646,,,,,,CDS Violation,Arrest
2469,2019-00032671,,,,,,DWI/DUI,Arrest
2470,2019-00032766,,,,,,Injured/Sick Person,CBE
2471,2019-00032769,,,,,,Suspicious Activity,CBE
2472,2019-00032939,,,,,,Damaged Property,CBE
2473,2019-00033109,,,,,,Accident - Departmental,CBE
2474,2019-00033116,,,,,,Hazardous Condition,CBE
2475,2019-00033117,,,,,,Harassment/Stalking,CBE
2476,2019-00033184,,,,,,Warrant/Summons Service,Arrest
2477,2019-00033235,,,,,,CDS Violation,Arrest
2478,2019-00033369,,,,,,Damaged Property,CBE
2479,2019-00033410,,,,,,CDS Violation,Arrest
2480,2019-00033418,,,,,,DWI/DUI,Arrest
2481,2019-00033472,,,,,,Damage to State Property,Active/Pending
2482,2019-00033500,,,,,,Injured/Sick Person,CBE
2483,2019-00033589,,,,,,DWI/DUI,Arrest
2484,2019-00033591,,,,,,Fire,CBE
2485,2019-00033633,,,,,,DWI/DUI,Arrest
2486,2019-00033637,,,,,,Vandalism,Investigation Pending
2487,2019-00033773,,,,,,Assist Other Agency,CBE
2488,2019-00033778,,,,,,DWI/DUI,Arrest
2489,2019-00033789,,,,,,DWI/DUI,Arrest
2490,2019-00033805,,,,,,Other Incident (Title IX Related),CBE
2491,2019-00033806,,,,,,Vandalism,Active/Pending
2492,2019-00033857,,,,,,Theft,Investigation Pending
2493,2019-00033948,,,,,,DWI/DUI,Arrest
2494,2019-00034191,,,,,,CDS Violation,Investigation Pending
2495,2019-00034441,,,,,,Trespassing,CBE
2496,2019-00034467,,,,,,Hate Bias Incident,CBE
2497,2019-00034469,,,,,,Theft,Investigation Pending
2498,2019-00034578,,,,,,Injured/Sick Person,CBE
2499,2019-00034670,,,,,,Lost Property,CBE
2500,2019-00034676,,,,,,Theft,Investigation Pending
2501,2019-00034771,,,,,,CDS Violation,Arrest
2502,2019-00034796,,,,,,Injured/Sick Person,CBE
2503,2019-00034974,,,,,,DWI/DUI,Arrest
2504,2019-00034975,,,,,,DWI/DUI,Arrest
2505,2019-00035122,,,,,,Assist Other Agency,CBE
2506,2019-00035292,,,,,,Damage to State Property,CBE
2507,2019-00035345,,,,,,DWI/DUI,Arrest
2508,2019-00035353,,,,,,CDS Violation,Arrest
2509,2019-00035544,,,,,,Injured/Sick Person,CBE
2510,2019-00035588,,,,,,Other Incident,CBE
2511,2019-00035633,,,,,,Burglary,Investigation Pending
2512,2019-00035670,,,,,,Other Incident,CBE
2513,2019-00035896,,,,,,Injured/Sick Person,CBE
2514,2019-00035899,,,,,,Dept Property Damage/Loss,CBE
2515,2019-00035909,,,,,,DWI/DUI,Arrest
2516,2019-00035968,,,,,,DWI/DUI,Arrest
2517,2019-00035977,,,,,,CDS Violation,Arrest
2518,2019-00035994,,,,,,Injured/Sick Person,CBE
2519,2019-00036050,,,,,,Theft,Arrest
2520,2019-00036081,,,,,,Fraud,Investigation Pending
2521,2019-00036113,,,,,,DWI/DUI,Arrest
2522,2019-00036116,,,,,,Damaged Property,CBE
2523,2019-00036175,,,,,,Theft,Arrest
2524,2019-00036310,,,,,,Damage to State Property,CBE
2525,2019-00036313,,,,,,DWI/DUI,Arrest
2526,2019-00036348,,,,,,DWI/DUI,Arrest
2527,2019-00036355,,,,,,DWI/DUI,Arrest
2528,2019-00036374,,,,,,DWI/DUI,Summons Issued
2529,2019-00036473,,,,,,Injured/Sick Person,CBE
2530,2019-00036484,,,,,,Injured/Sick Person,CBE
2531,2019-00036529,,,,,,DWI/DUI,Arrest
2532,2019-00036559,,,,,,DWI/DUI,Arrest
2533,2019-00036593,,,,,,Theft from Auto,Investigation Pending
2534,2019-00036664,,,,,,Injured/Sick Person,CBE
2535,2019-00036701,,,,,,Other Incident,CBE
2536,2019-00036729,,,,,,DWI/DUI,Arrest
2537,2019-00036874,,,,,,Theft,Arrest
2538,2019-00037012,,,,,,Injured/Sick Person,CBE
2539,2019-00037046,,,,,,Injured/Sick Person,CBE
2540,2019-00037127,,,,,,DWI/DUI,Arrest
2541,2019-00037230,,,,,,Burglary,Warrant Issued
2542,2019-00037257,,,,,,Warrant/Summons Service,Arrest
2543,2019-00037271,,,,,,Traffic Arrest,Arrest
2544,2019-00037367,,,,,,Animal Complaint,CBE
2545,2019-00037412,,,,,,Theft,Active/Pending
2546,2019-00037556,,,,,,CDS Violation,Arrest
2547,2019-00037564,,,,,,CDS Violation,Arrest
2548,2019-00037713,,,,,,DWI/DUI,Arrest
2549,2019-00037783,,,,,,DWI/DUI,Arrest
2550,2019-00038017,,,,,,Threat Assessment,Arrest
2551,2019-00038034,,,,,,Injured/Sick Person,CBE
2552,2019-00038080,,,,,,Title IX Incident Non Criminal,CBE
2553,2019-00038195,,,,,,Warrant/Summons Service,Arrest
2554,2019-00038227,,,,,,DWI/DUI,Arrest
2555,2019-00038231,,,,,,CDS Violation,Arrest
2556,2019-00038272,,,,,,Dept Property Damage/Loss,CBE
2557,2019-00038273,,,,,,Theft,Active/Pending
2558,2019-00038352,,,,,,Hate Bias Incident (Title IX Related),CBE
2559,2019-00038513,,,,,,Suspicious Activity,Investigation Pending
2560,2019-00038592,,,,,,Theft from Auto,Unfounded
2561,2019-00038604,,,,,,Other Incident,CBE
2562,2019-00038647,,,,,,CDS Violation,Arrest
2563,2019-00038661,,,,,,DWI/DUI,Arrest
2564,2019-00038669,,,,,,DWI/DUI,Arrest
2565,2019-00038832,,,,,,DWI/DUI,Arrest
2566,2019-00038883,,,,,,DWI/DUI,Arrest
2567,2019-00038962,,,,,,Warrant/Summons Service,Arrest
2568,2019-00039021,,,,,,Warrant/Summons Service,CBE
2569,2019-00039044,,,,,,DWI/DUI,Arrest
2570,2019-00039195,,,,,,Noise Complaint,CBE
2571,2019-00039221,,,,,,DWI/DUI,Arrest
2572,2019-00039607,,,,,,Sex Offense,CBE
2573,2019-00039679,,,,,,DWI/DUI,Arrest
2574,2019-00039776,,,,,,Theft,Arrest
2575,2019-00039781,,,,,,Theft,Arrest
2576,2019-00039784,,,,,,Suspicious Person/Auto,CBE
2577,2019-00039789,,,,,,Theft,Arrest
2578,2019-00039869,,,,,,CDS Violation,Arrest
2579,2019-00039912,,,,,,Injured/Sick Person,CBE
2580,2019-00039919,,,,,,Trespassing,Arrest
2581,2019-00039921,,,,,,Trespassing,CBE
2582,2019-00039984,,,,,,DWI/DUI,Arrest
2583,2019-00039989,,,,,,DWI/DUI,Arrest
2584,2019-00039990,,,,,,DWI/DUI,Arrest
2585,2019-00040324,,,,,,Other Incident,CBE
2586,2019-00040335,,,,,,Alcohol Violation,Arrest
2587,2019-00040348,,,,,,Alcohol Violation,Arrest
2588,2019-00040357,,,,,,DWI/DUI,Arrest
2589,2019-00040567,,,,,,DWI/DUI,Arrest
2590,2019-00040624,,,,,,Telephone/EMail Misuse,CBE
2591,2019-00040711,,,,,,DWI/DUI,Arrest
2592,2019-00040720,,,,,,DWI/DUI,Arrest
2593,2019-00040724,,,,,,DWI/DUI,Arrest
2594,2019-00040777,,,,,,Theft,Arrest
2595,2019-00041063,,,,,,Warrant/Summons Service,Arrest
2596,2019-00041097,,,,,,Other Incident,Unfounded
2597,2019-00041132,,,,,,Damage to State Property,CBE
2598,2019-00041171,,,,,,Assault,CBE
2599,2019-00041172,,,,,,Theft,Arrest
2600,2019-00041247,,,,,,CDS Violation,Arrest
2601,2019-00041476,,,,,,Damage to State Property,Active/Pending
2602,2019-00041546,,,,,,Injured/Sick Person,CBE
2603,2019-00041644,,,,,,DWI/DUI,Arrest
2604,2019-00041646,,,,,,DWI/DUI,Arrest
2605,2019-00041647,,,,,,Injured/Sick Person,CBE
2606,2019-00041816,,,,,,Warrant/Summons Service,Arrest
2607,2019-00041827,,,,,,DWI/DUI,Arrest
2608,2019-00041836,,,,,,DWI/DUI,Arrest
2609,2019-00041837,,,,,,DWI/DUI,Arrest
2610,2019-00041844,,,,,,Injured/Sick Person,CBE
2611,2019-00041848,,,,,,DWI/DUI,Arrest
2612,2019-00041849,,,,,,DWI/DUI,Arrest
2613,2019-00042000,,,,,,Burglary,Warrant Issued
2614,2019-00042001,,,,,,Burglary,Warrant Issued
2615,2019-00042027,,,,,,DWI/DUI,Arrest
2616,2019-00042072,,,,,,Injured/Sick Person,CBE
2617,2019-00042097,,,,,,Damaged Property,CBE
2618,2019-00042107,,,,,,Assist Other Agency,CBE
2619,2019-00042109,,,,,,Injured/Sick Person,CBE
2620,2019-00042180,,,,,,Theft,Investigation Pending
2621,2019-00042184,,,,,,Theft,Active/Pending
2622,2019-00042272,,,,,,Theft,Investigation Pending
2623,2019-00042297,,,,,,Injured/Sick Person,CBE
2624,2019-00042298,,,,,,Accident - Departmental,Active/Pending
2625,2019-00042372,,,,,,CDS Violation,Arrest
2626,2019-00042379,,,,,,CDS Violation,Arrest
2627,2019-00042404,,,,,,Damage to State Property,Active/Pending
2628,2019-00042496,,,,,,Injured/Sick Person,CBE
2629,2019-00042518,,,,,,Theft,Active/Pending
2630,2019-00042582,,,,,,CDS Violation,Juvenile Arrest
2631,2019-00042631,,,,,,DWI/DUI,Arrest
2632,2019-00042731,,,,,,Burglary,Unfounded
2633,2019-00042766,,,,,,Theft,Warrant Issued
2634,2019-00042867,,,,,,CDS Violation,Arrest
2635,2019-00042923,,,,,,CDS Violation,Arrest
2636,2019-00042925,,,,,,DWI/DUI,Arrest
2637,2019-00042937,,,,,,DWI/DUI,Arrest
2638,2019-00042994,,,,,,Theft,Investigation Pending
2639,2019-00043158,,,,,,DWI/DUI,Arrest
2640,2019-00043159,,,,,,Injured/Sick Person,CBE
2641,2019-00043175,,,,,,DWI/DUI,Arrest
2642,2019-00043217,,,,,,Other Incident,CBE
2643,2019-00043256,,,,,,Damage to State Property,Active/Pending
2644,2019-00043261,,,,,,Injured/Sick Person,CBE
2645,2019-00043288,,,,,,DWI/DUI,Arrest
2646,2019-00043289,,,,,,Injured/Sick Person,CBE
2647,2019-00043298,,,,,,Injured/Sick Person,CBE
2648,2019-00043320,,,,,,DWI/DUI,Arrest
2649,2019-00043324,,,,,,DWI/DUI,Arrest
2650,2019-00043471,,,,,,Injured/Sick Person,CBE
2651,2019-00043474,,,,,,Injured/Sick Person,CBE
2652,2019-00043541,,,,,,DWI/DUI,Arrest
2653,2019-00043594,,,,,,Injured/Sick Person,CBE
2654,2019-00043597,,,,,,Injured/Sick Person,CBE
2655,2019-00043818,,,,,,Theft,Investigation Pending
2656,2019-00043850,,,,,,Injured/Sick Person,CBE
2657,2019-00043873,,,,,,Theft,Summons Issued
2658,2019-00043901,,,,,,Assist Other Agency,CBE
2659,2019-00043989,,,,,,DWI/DUI,Arrest
2660,2019-00044045,,,,,,Injured/Sick Person,CBE
2661,2019-00044085,,,,,,Other Incident,CBE
2662,2019-00044087,,,,,,Recovered Stolen Motor Vehicle,Investigation Pending
2663,2019-00044129,,,,,,CDS Violation,Arrest
2664,2019-00044201,,,,,,DWI/DUI,Arrest
2665,2019-00044225,,,,,,Stolen Motor Vehicle,Active/Pending
2666,2019-00044307,,,,,,Stolen Motor Vehicle,Juvenile Arrest
2667,2019-00044324,,,,,,Stolen Motor Vehicle,Active/Pending
2668,2019-00044464,,,,,,Suspicious Activity,Arrest
2669,2019-00044575,,,,,,Fraud,Investigation Pending
2670,2019-00044607,,,,,,Theft from Auto,Investigation Pending
2671,2019-00045118,,,,,,Vandalism,Arrest
2672,2019-00045298,,,,,,Theft,Arrest
2673,2019-00045316,,,,,,Dept Property Damage/Loss,CBE
2674,2019-00045351,,,,,,Theft from Auto,Investigation Pending
2675,2019-00045386,,,,,,Theft,Investigation Pending
